Address,Property URL,City,Lot Size (AC),Price,Property Type,
15854 Jackson Creek Pky,https://www.loopnet.com/Listing/15854-16086-Jackson-Creek-Pky-Monument-CO/24968656/,"Monument, CO 80132",0.49," $767,727.74 ",Commercial Lots,
6683 Crossroads Blvd,https://www.loopnet.com/Listing/6683-Crossroads-Blvd-Windsor-CO/21654107/,"Windsor, CO 80550",0.5," $774,204.00 ",Commercial Lots,
5290 Balsam St,https://www.loopnet.com/Listing/5290-Balsam-St-Arvada-CO/38996376/,"Arvada, CO 80002",0.55," $899,000.00 ",Commercial Lot,
1350 S Sheridan Blvd,https://www.loopnet.com/Listing/1350-S-Sheridan-Blvd-Denver-CO/37998105/,"Denver, CO 80232",0.55," $1,550,000.00 ",Commercial Lot,
Chambers & E-470 Retail,https://www.loopnet.com/Listing/Chambers-E-470-Retail-Parker-CO/16914574/,"Parker, CO 80134",0.58," $826,014.08 ",Commercial Lots,
4310 N Delaware St,https://www.loopnet.com/Listing/4310-4328-N-Delaware-St-Denver-CO/39046175/,"Denver, CO 80216",0.58," $1,580,000.00 ",Industrial Lot,
8507 Reed st,https://www.loopnet.com/Listing/8507-Reed-st-Littleton-CO/39673424/,"Littleton, CO 80128",0.59," $599,999.00 ",Commercial Lot,
2099 S Oak St,https://www.loopnet.com/Listing/2099-S-Oak-St-Lakewood-CO/28271460/,"Lakewood, CO 80227",0.61," $800,000.00 ",Commercial Lot,
16086 Jackson Creek Pkwy,https://www.loopnet.com/Listing/Jackson-Creek-Pkwy-Monument-CO/24920157/,"Monument, CO 80132",0.62," $851,919.12 ",Commercial Lots,
17160 W Colfax Ave,https://www.loopnet.com/Listing/17160-W-Colfax-Ave-Golden-CO/29520298/,"Golden, CO 80401",0.63," $500,000.00 ",Commercial Lot,
1560 N Academy Blvd,https://www.loopnet.com/Listing/1560-N-Academy-Blvd-Colorado-Springs-CO/3886433/,"Colorado Springs, CO 80909",0.64," $416,700.00 ",Commercial Lot,
