Address,Property URL,City,Lot Size (AC),Price,Property Type,
Powers Blvd & Palmer Park Blvd,https://www.loopnet.com/Listing/Powers-Blvd-Colorado-Springs-CO/34425779/,"Colorado Springs, CO 80915",2," $3,668,562.00 ",Commercial Lots,
E Harmony & Lady Moon Dr,https://www.loopnet.com/Listing/E-Harmony-Lady-Moon-Dr-Fort-Collins-CO/11217719/,"Fort Collins, CO 80528",2.2," $1,054,007.00 ",Commercial Lot,
1510 Garden of the Gods Rd,https://www.loopnet.com/Listing/1510-Garden-of-the-Gods-Rd-Colorado-Springs-CO/31867601/,"Colorado Springs, CO 80907",2.2," $1,916,640.00 ",Commercial Lot,
9355 Park Meadows Dr,https://www.loopnet.com/Listing/9355-Park-Meadows-Dr-Lone-Tree-CO/38517037/,"Lone Tree, CO 80124",2.22," $1,271,272.82 ",Commercial Lots,
4578 Central Park Blvd,https://www.loopnet.com/Listing/4578-Central-Park-Blvd-Denver-CO/35747069/,"Denver, CO 80238",2.24," $3,240,000.00 ",Commercial Lot,
81st Ave & Tower Rd,https://www.loopnet.com/Listing/Tower-Rd-Commerce-City-CO/26137040/,"Commerce City, CO 80022",2.27," $1,285,384.37 ",Commercial Lot,
SWC Highway 72 & Indiana St,https://www.loopnet.com/Listing/SWC-Highway-72-Indiana-St-Arvada-CO/31355545/,"Arvada, CO 80007",2.32," $895,000.00 ",Commercial Lot,
9376 Grand Cordera Pky,https://www.loopnet.com/Listing/9376-Grand-Cordera-Pky-Colorado-Springs-CO/26773287/,"Colorado Springs, CO 80924",2.4," $1,986,336.00 ",Commercial Lot,
18653 E 57th Ave,https://www.loopnet.com/Listing/18653-E-57th-Ave-Denver-CO/38669354/,"Denver, CO 80249",2.47," $3,470,000.00 ",Commercial Lot,
10485 Iron Star Pt,https://www.loopnet.com/Listing/TBD-Crane-Ridge-Drive-Pueblo-CO/31539445/,"Pueblo, CO 81008",2.5," $414,400.00 ",Commercial Lots,
22020 E Atlantic Pl,https://www.loopnet.com/Listing/22020-E-Atlantic-Pl-Aurora-CO/25672797/,"Aurora, CO 80018",2.5," $1,350,297.50 ",Commercial Lots,
Castle Meadows & Plum Creek Pky,https://www.loopnet.com/Listing/Castle-Meadows-Plum-Creek-Pky-Castle-Rock-CO/39660998/,"Castle Rock, CO 80104",2.5," $2,069,456.00 ",Commercial Lots,
NEC I-25 & Prospect Rd,https://www.loopnet.com/Listing/NEC-I-25-Prospect-Rd-Fort-Collins-CO/25135704/,"Fort Collins, CO 80525",2.5," $2,069,456.00 ",Commercial Lots,
6825 S County Road 5,https://www.loopnet.com/Listing/6825-S-County-Road-5-Fort-Collins-CO/12397349/,"Fort Collins, CO 80528",2.5," $2,069,456.00 ",Commercial Lots,
Highway 34 Business & 83rd Avenue,https://www.loopnet.com/Listing/Highway-34-Business-83rd-Avenue-Greeley-CO/27017249/,"Greeley, CO 80634",2.5," $2,069,456.00 ",Commercial Lots,
Hwy 34 & Promontory Pkwy,https://www.loopnet.com/Listing/Hwy-34-Promontory-Pkwy-Greeley-CO/26528860/,"Greeley, CO 80634",2.5," $2,069,456.00 ",Commercial Lots,
15854 Jackson Creek Pky,https://www.loopnet.com/Listing/15854-16086-Jackson-Creek-Pky-Monument-CO/24968656/,"Monument, CO 80132",2.5," $2,069,456.00 ",Commercial Lots,
Hwy 66 & County Road 19,https://www.loopnet.com/Listing/TBD-Saginor-Ln-Platteville-CO/39308580/,"Platteville, CO 80651",2.5," $2,069,456.00 ",Commercial Lots,
6770 Innovate Pl,https://www.loopnet.com/Listing/Harmony-Rd-Timnath-CO/21109276/,"Timnath, CO 80547",2.5," $2,069,456.00 ",Commercial Lots,
900 Southgate Drive,https://www.loopnet.com/Listing/900-Southgate-Drive-Windsor-CO/33596527/,"Windsor, CO 80550",2.5," $2,069,456.00 ",Commercial Lots,
