Address,Property URL,City,Acreage,Price,Property Type,Unnamed: 6,Latitude,Longitude
815 Inca St,https://www.loopnet.com/Listing/815-Inca-St-Denver-CO/39390414/,"Denver, CO 80204",0.08," $674,900.00 ",Commercial Lot,,39.729331857399,-104.997852549422
4228 Josephine St,https://www.loopnet.com/Listing/4228-Josephine-St-Denver-CO/35675444/,"Denver, CO 80216",0.1," $400,000.00 ",Industrial Lot,,39.775762823306,-104.957956869601
3455 Larimer St,https://www.loopnet.com/Listing/3455-3459-Larimer-St-Denver-CO/39385010/,"Denver, CO 80205",0.14," $1,150,000.00 ",Commercial Lot,,39.766859523843,-104.974865012325
2544 11th Ave,https://www.loopnet.com/Listing/2544-11th-Ave-Greeley-CO/35100267/,"Greeley, CO 80631",0.15," $350,000.00 ",Commercial Lot,,40.395690645275,-104.69657283495
833 S Monaco Pky,https://www.loopnet.com/Listing/833-S-Monaco-Pky-Denver-CO/38313187/,"Denver, CO 80224",0.16," $799,000.00 ",Commercial Lot,,39.70128982314,-104.913142353721
E 4th Ave & Billings St,https://www.loopnet.com/Listing/E-4th-Ave-Billings-St-Aurora-CO/33156507/,"Aurora, CO 80011",0.17," $692,699.27 ",Commercial Lot,,39.721977994648,-104.822135001804
1339 Sheridan Blvd,https://www.loopnet.com/Listing/1339-Sheridan-Blvd-Lakewood-CO/29629654/,"Lakewood, CO 80214",0.18," $299,999.00 ",Commercial Lot,,39.737415742007,-105.053556666269
831 N Clarkson St,https://www.loopnet.com/Listing/831-N-Clarkson-St-Denver-CO/38142797/,"Denver, CO 80218",0.18," $899,000.00 ",Commercial Lot,,39.729919009716,-104.977904960968
1000 Sheridan Blvd,https://www.loopnet.com/Listing/1000-Sheridan-Blvd-Denver-CO/28327481/,"Denver, CO 80204",0.19," $1,600,000.00 ",Commercial Lot,,39.733321517582,-105.052966328828
2292 S Delaware St,https://www.loopnet.com/Listing/2292-S-Delaware-St-Denver-CO/35492964/,"Denver, CO 80223",0.21," $950,000.00 ",Commercial Lot,,39.675161209737,-104.991963591889
10 Weber St,https://www.loopnet.com/Listing/10-Weber-St-Colorado-Springs-CO/35200220/,"Colorado Springs, CO 80903",0.22," $500,000.00 ",Commercial Lot,,38.833218020775,-104.820383016402
12295 Pennsylvania St,https://www.loopnet.com/Listing/12295-Pennsylvania-St-Thornton-CO/32836317/,"Thornton, CO 80241",0.23," $325,000.00 ",Commercial Lot,,39.919871459678,-104.979159983331
