Fleet_Name,DOT Number,City,State,Drivers,Trucks,Address,Category,Latitude,Longitude,Daily_Demand
RES,2386701,DENVER,CO,96,149,"1601 19TH STREET STE 400 DENVER, CO 80202",Hauling,39.75448746,-104.9966104,1237.15
EAGLE ROCK DISTRIBUTING COMPANY OF COLORADO LLC,3516546,DENVER,CO,137,148,"1455 E 62ND AVE DENVER, CO 80216-1241",Refrigerated Transit,39.80959529,-104.9695372,1382.3
MPLX G&P,4151788,DENVER,CO,144,144,"1515 ARAPAHOE ST STE 1-600 DENVER, CO 80202-2137","Oil, Gas and Utility Services",39.74762586,-104.9971883,684.29
RMS CRANES,927266,DENVER,CO,163,139,"1961 E 64TH AVE DENVER, CO 80229",Hauling,39.81453038,-104.9631376,1154.12
SURESHOT DRILLING LLC ATOZ FIELD SERVICES LLC DRILL TECH LLC PINNACLE DEVELOPMENT INC HDD SPECIALISTS LLC,2598122,DENVER,CO,194,135,"6145 BROADWAY SUITE 40 DENVER, CO 80216","Oil, Gas and Utility Services",39.80770978,-104.9881977,641.52
SWINGLE TREE & LANDSCAPE CARE,1087703,DENVER,CO,149,135,"8585 E WARREN AVE DENVER, CO 80231-3315",Landscape and Groundskeeping,39.67694702,-104.88829,1120.91
CONCRETE EXPRESS INC,735828,DENVER,CO,30,128,"2027 WEST COLFAX AVENUE DENVER, CO 80204",Construction Material and Equipment,39.73980655,-105.0166304,1062.79
SUPERSHUTTLE DENVER,2287974,DENVER,CO,125,125,"7500 EAST 41ST AVENUE DENVER, CO 80216",Public Transit,39.77438895,-104.9006763,1167.48
FARMERS ALL NATURAL,1085905,DENVER,CO,106,121,"350 S PEARL STREET DENVER, CO 80209",Refrigerated Transit,39.71002201,-104.9800746,1130.12
COORS DISTRIBUTING COMPANY MILLER COORS LLC,1018706,DENVER,CO,122,105,"5400 N Pecos Street, Denver, CO 80221",Hauling,39.79556046,-105.0048089,871.82
AMERICAN FURNITURE WAREHOUSE CO,137781,ENGLEWOOD,CO,608,340,"8820 AMERICAN WAY ENGLEWOOD, CO 80112",Hauling,39.55890627,-104.824032,2823.03
KEESEN ENTERPRISES INC,1156493,ENGLEWOOD,CO,230,263,"3355 S UMATILLA STREET ENGLEWOOD, CO 80110",Landscape and Groundskeeping,39.65547698,-105.012188,2183.7
BUCKLEY POWDER CO,7806,ENGLEWOOD,CO,196,217,"42 INVERNESS DRIVE EAST ENGLEWOOD, CO 80112",Hauling,39.57325298,-104.856756,1801.76
CH2M OMI CH2MHILL JACOBS,467570,ENGLEWOOD,CO,668,183,"9193 SOUTH JAMAICA STREET, ENGLEWOOD, CO 80155-6607",Construction Material and Equipment,39.54841636,-104.8671907,1519.46
QUALITY LOGISTICS INC,22520,ENGLEWOOD,CO,130,135,"3340 SOUTH ZUNI STREET ENGLEWOOD, CO 80110",Hauling,39.65672995,-105.0146176,1120.91
PROCAM SERVICES ,2831346,ENGLEWOOD,CO,75,101,"1725 W Yale Ave, Englewood, CO 80110",Construction Material and Equipment,39.66797599,-105.00801,838.61
NOVUS AG LLC,2440782,FORT COLLINS,CO,275,444,"3420 EAST HARMONY ROAD SUITE 122 FORT COLLINS, CO 80528",Hauling,40.52775847,-105.013679,3686.55
CITY OF FORT COLLINS,412431,FORT COLLINS,CO,486,285,"215 N MASON STREET - SRM FORT COLLINS, CO 80524",Public Works,40.58955191,-105.0793972,661.4
Poudre School District ,1078647,FORT COLLINS,CO,630,243,"2407 WEST LAPORTE AVENUE FORT COLLINS, CO 80521",School Transit,40.58899334,-105.1203411,1270.21
HOLCIM WCR INC,420480,GOLDEN,CO,237,298,"1687 COLE BLVD GOLDEN, CO 80401",Construction Material and Equipment,39.74043872,-105.157008,2474.31
ENIVIRONMENTAL LANDWORKS COMPANY INC,1778292,GOLDEN,CO,110,115,"17173 Mt Vernon Rodd, Golden, CO 80401",Construction Material and Equipment,39.72855779,-105.1921193,954.85
WELD COUNTY PUBLIC WORKS DEPARTMENT,927276,GREELEY,CO,172,145,"1111 H ST GREELEY, CO 80632-0758",Public Works,40.44649248,-104.7017435,336.5
GLOBAL TRANSPORTATION LLC,2439316,GREENWOOD VILLAGE,CO,497,442,"6312 S FIDDLERS GREEN CIRCLE, STE 300E GREENWOOD VILLAGE, CO 80111",Hauling,39.60327499,-104.893365,3669.94
WHEEL PROS LLC,1192899,GREENWOOD VILLAGE,CO,377,182,"5347 S VALENTIA WAY STE 200 GREENWOOD VILL, CO 80111",Hauling,39.61817399,-104.892859,1511.15
HBSCO DANS TRASH AT YOUR DISPOSAL,2974292,GREENWOOD VILLAGE,CO,90,110,"9250 E COSTILLA AVE SUITE 310 GREENWOOD VILLAGE, CO 80112",Waste Management Services,39.59111398,-104.881499,712.8
CITY LIGHT AND POWER INC,2300012,GREENWOOD VILLAGE,CO,181,121,"4582 S Ulster Street, Denver, CO 80237","Oil, Gas and Utility Services",39.63335073,-104.898617,574.99
ENVIRONMENTAL DESIGNS LLC,1232825,HENDERSON,CO,165,156,"12511 E 112TH AVE HENDERSON, CO 80640",Landscape and Groundskeeping,39.90011678,-104.8429167,1295.27
BURNCO COLORADO LLC,899792,HENDERSON,CO,174,146,"10100 DALLAS STREET HENDERSON, CO 80640",Construction Material and Equipment,39.87975366,-104.8754934,1212.24
WEST DIRECT OIL,3049403,HENDERSON,CO,86,140,"9052 YOSEMITE ST HENDERSON, CO 80640","Oil, Gas and Utility Services",39.86128221,-104.8835683,665.28
ENTERPRISE RENT-A-CAR NATIONAL RENT A CAR ALAMO RENT A CAR,2029087,HIGHLANDS RANCH,CO,90,421,"6828 E COUNTY LINE RD HIGHLANDS RANCH, CO 80126",Rental Services,39.56507241,-104.9116426,2546.21
PACIFIC SHIPPING & TRUCKING CO INC,470014,HIGHLANDS RANCH,CO,126,109,"1805 SHEA CENTER DRIVE SUITE 130 HIGHLANDS RANCH, CO 80129",Hauling,39.55406697,-105.010492,905.03
JEFFCO SCHOOLS,1098148,LAKEWOOD,CO,180,274,"809 QUAIL STREET, LAKEWOOD, CO 80215",School Transit,39.72990908,-105.1245069,1432.25
COMPASS VEHICLE RENTAL INC,1244880,LAKEWOOD,CO,100,170,"1480 TELLER SREET, LAKEWOOD, CO 80214",Rental Services,39.74039711,-105.0766492,1028.16
JEFFERSON COUNTY,996210,LAKEWOOD ,CO,175,120,"987 Quail St 931, Lakewood, CO 80215",School Transit,39.73232218,-105.1238112,627.26
